identifier,description,rdf,triples
Amazon_01,"Amazon.com, Inc. is an American multinational technology company engaged in e-commerce, cloud computing, online advertising, digital streaming, entertainment, and artificial intelligence.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q3884 rdfs:label ""Amazon""@en ;
    kg:be wd:Q11016 ;
    kg:be wd:Q161726 ;
    kg:be wd:Q54642234 ;
    kg:be wd:Q6881511 ;
    kg:be wd:Q7976 ;
    kg:compute wd:Q15751140 ;
    kg:compute wd:Q15982450 ;
    kg:compute wd:Q1665657 ;
    kg:compute wd:Q173799 ;
    kg:compute wd:Q37038 ;
    kg:compute wd:Q60315954 ;
    kg:compute wd:Q690079 ;
    kg:engage wd:Q8074 ;
    kg:engageIn wd:Q484847 .

wd:Q11016 rdfs:label ""technology""@en .
wd:Q15751140 rdfs:label ""Artificial Organs""@en .
wd:Q15982450 rdfs:label ""music streaming""@en .
wd:Q161726 rdfs:label ""multinational corporation""@en .
wd:Q1665657 rdfs:label ""Intelligence""@en .
wd:Q173799 rdfs:label ""entertainment""@en .
wd:Q37038 rdfs:label ""advertising""@en .
wd:Q484847 rdfs:label ""e-commerce""@en .
wd:Q54642234 rdfs:label ""American Multinationals and Japan: The Political Economy of Japanese Capital Controls, 1899-1980""@en .
wd:Q60315954 rdfs:label ""Online Games-Datenbank""@en .
wd:Q6881511 rdfs:label ""enterprise""@en .
wd:Q690079 rdfs:label ""Digital Equipment Corporation""@en .
wd:Q7976 rdfs:label ""American English""@en .
wd:Q8074 rdfs:label ""cloud""@en .
","[[""Amazon"", ""be"", ""American English""], [""Amazon"", ""be"", ""American Multinationals and Japan: The Political Economy of Japanese Capital Controls, 1899-1980""], [""Amazon"", ""be"", ""enterprise""], [""Amazon"", ""be"", ""multinational corporation""], [""Amazon"", ""be"", ""technology""], [""Amazon"", ""compute"", ""advertising""], [""Amazon"", ""compute"", ""Artificial Organs""], [""Amazon"", ""compute"", ""Digital Equipment Corporation""], [""Amazon"", ""compute"", ""entertainment""], [""Amazon"", ""compute"", ""Intelligence""], [""Amazon"", ""compute"", ""music streaming""], [""Amazon"", ""compute"", ""Online Games-Datenbank""], [""Amazon"", ""engage"", ""cloud""], [""Amazon"", ""engageIn"", ""e-commerce""]]"
Amazon_02,"Amazonas is a state of Brazil, located in the North Region in the north-western corner of the country. It is the largest Brazilian state by area and the ninth-largest country subdivision in the world with an area of 1,570,745.7 square kilometers.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q40040 rdfs:label ""Amazonas""@en ;
    kg:be wd:Q10578722 ;
    kg:be wd:Q580020 ;
    kg:be wd:Q750553 ;
    kg:be wd:Q927568 ;
    kg:beBy wd:Q192287 ;
    kg:beBy wd:Q3268571 ;
    kg:beOf wd:Q155 ;
    kg:beOf wd:Q199 ;
    kg:locateIn wd:Q11790733 ;
    kg:locateIn wd:Q16865769 ;
    kg:locateIn wd:Q309350 ;
    kg:locateIn wd:Q502341 ;
    kg:locateIn wd:Q82794 ;
    kg:locateOf wd:Q83440 .

wd:Q10578722 rdfs:label ""maximum""@en .
wd:Q11790733 rdfs:label ""North""@en .
wd:Q155 rdfs:label ""Brazil""@en .
wd:Q16865769 rdfs:label ""Corner""@en .
wd:Q192287 rdfs:label ""administrative divisions of Russia""@en .
wd:Q199 rdfs:label ""1""@en .
wd:Q309350 rdfs:label ""Northwestern University""@en .
wd:Q3268571 rdfs:label ""administrative territorial entity of a single country""@en .
wd:Q502341 rdfs:label ""North""@en .
wd:Q580020 rdfs:label ""570""@en .
wd:Q750553 rdfs:label ""Brazilian Portuguese""@en .
wd:Q82794 rdfs:label ""region""@en .
wd:Q83440 rdfs:label ""country music""@en .
wd:Q927568 rdfs:label ""745""@en .
","[[""Amazonas"", ""be"", ""570""], [""Amazonas"", ""be"", ""745""], [""Amazonas"", ""be"", ""Brazilian Portuguese""], [""Amazonas"", ""be"", ""maximum""], [""Amazonas"", ""beBy"", ""administrative divisions of Russia""], [""Amazonas"", ""beBy"", ""administrative territorial entity of a single country""], [""Amazonas"", ""beOf"", ""1""], [""Amazonas"", ""beOf"", ""Brazil""], [""Amazonas"", ""locateIn"", ""Corner""], [""Amazonas"", ""locateIn"", ""North""], [""Amazonas"", ""locateIn"", ""Northwestern University""], [""Amazonas"", ""locateIn"", ""region""], [""Amazonas"", ""locateOf"", ""country music""]]"
Seal_01,"Seal Henry Olusegun Olumide Adeola Samuel, known mononymously as Seal, is a British singer, songwriter, and record producer. He is the recipient of three Brit Awards, four Grammy Awards and an MTV Video Music Award, with more than 20 million albums or singles sold.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q218091 rdfs:label ""Seal""@en ;
    kg:be wd:Q1260201 ;
    kg:be wd:Q1458581 ;
    kg:be wd:Q2596417 ;
    kg:be wd:Q273899 ;
    kg:be wd:Q3062264 ;
    kg:be wd:Q3282637 ;
    kg:be wd:Q34508 ;
    kg:be wd:Q40292 ;
    kg:be wd:Q41254 ;
    kg:be wd:Q618779 ;
    kg:be wd:Q62032401 ;
    kg:be wd:Q638 ;
    kg:be wd:Q753110 ;
    kg:be wd:Q9309 ;
    kg:beOf wd:Q129286 ;
    kg:beOf wd:Q223313 ;
    kg:beOf wd:Q618779 .

wd:Q1260201 rdfs:label ""Singer""@en .
wd:Q129286 rdfs:label ""British Raj""@en .
wd:Q1458581 rdfs:label ""Record""@en .
wd:Q223313 rdfs:label ""BRIT Awards""@en .
wd:Q2596417 rdfs:label ""beneficiary""@en .
wd:Q273899 rdfs:label ""Singles""@en .
wd:Q3062264 rdfs:label ""MTV Brasil""@en .
wd:Q3282637 rdfs:label ""film producer""@en .
wd:Q34508 rdfs:label ""video recording""@en .
wd:Q40292 rdfs:label ""20""@en .
wd:Q41254 rdfs:label ""Grammy Awards""@en .
wd:Q618779 rdfs:label ""award""@en .
wd:Q62032401 rdfs:label ""album chart""@en .
wd:Q638 rdfs:label ""music""@en .
wd:Q753110 rdfs:label ""songwriter""@en .
wd:Q9309 rdfs:label ""Welsh""@en .
","[[""Seal"", ""be"", ""20""], [""Seal"", ""be"", ""album chart""], [""Seal"", ""be"", ""award""], [""Seal"", ""be"", ""beneficiary""], [""Seal"", ""be"", ""film producer""], [""Seal"", ""be"", ""Grammy Awards""], [""Seal"", ""be"", ""MTV Brasil""], [""Seal"", ""be"", ""music""], [""Seal"", ""be"", ""Record""], [""Seal"", ""be"", ""Singer""], [""Seal"", ""be"", ""Singles""], [""Seal"", ""be"", ""songwriter""], [""Seal"", ""be"", ""video recording""], [""Seal"", ""be"", ""Welsh""], [""Seal"", ""beOf"", ""award""], [""Seal"", ""beOf"", ""BRIT Awards""], [""Seal"", ""beOf"", ""British Raj""]]"
Seal_02,"SeaLifeBase is a global online database of information about marine life. It aims to provide key information on the taxonomy, distribution and ecology of all marine species in the world apart from finfish.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q7439813 rdfs:label ""SeaLifeBase""@en ;
    kg:be wd:Q1531570 ;
    kg:be wd:Q17023689 ;
    kg:be wd:Q60315954 ;
    kg:be wd:Q8513 ;
    kg:beAbout wd:Q4568822 ;
    kg:beAbout wd:Q463198 ;
    kg:provide wd:Q123187803 ;
    kg:provide wd:Q16871354 ;
    kg:provide wd:Q200726 ;
    kg:provide wd:Q7150 ;
    kg:provide wd:Q7432 ;
    kg:provideOn wd:Q8269924 .

wd:Q123187803 rdfs:label ""Finfish""@en .
wd:Q1531570 rdfs:label ""Global Biodiversity Information Facility""@en .
wd:Q16871354 rdfs:label ""Key""@en .
wd:Q17023689 rdfs:label ""Global Online""@en .
wd:Q200726 rdfs:label ""probability distribution""@en .
wd:Q4568822 rdfs:label ""Marine""@en .
wd:Q463198 rdfs:label ""Life""@en .
wd:Q60315954 rdfs:label ""Online Games-Datenbank""@en .
wd:Q7150 rdfs:label ""ecology""@en .
wd:Q7432 rdfs:label ""species""@en .
wd:Q8269924 rdfs:label ""taxonomy""@en .
wd:Q8513 rdfs:label ""database""@en .
","[[""SeaLifeBase"", ""be"", ""database""], [""SeaLifeBase"", ""be"", ""Global Biodiversity Information Facility""], [""SeaLifeBase"", ""be"", ""Global Online""], [""SeaLifeBase"", ""be"", ""Online Games-Datenbank""], [""SeaLifeBase"", ""beAbout"", ""Life""], [""SeaLifeBase"", ""beAbout"", ""Marine""], [""SeaLifeBase"", ""provide"", ""ecology""], [""SeaLifeBase"", ""provide"", ""Finfish""], [""SeaLifeBase"", ""provide"", ""Key""], [""SeaLifeBase"", ""provide"", ""probability distribution""], [""SeaLifeBase"", ""provide"", ""species""], [""SeaLifeBase"", ""provideOn"", ""taxonomy""]]"
Crane_01,"Crane is a surname. The name is a derivative of in Old English or is the English translation of the German or According to The Oxford Dictionary of Family Names in Britain & Ireland, and all mean in both Old English and German respectively.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q16865841 rdfs:label ""Crane""@en ;
    kg:accordIn wd:Q145 ;
    kg:accordIn wd:Q27 ;
    kg:accordOf wd:Q15767091 ;
    kg:accordOf wd:Q35409 ;
    kg:accordTo wd:Q23622 ;
    kg:accordTo wd:Q34433 ;
    kg:be wd:Q101352 ;
    kg:be wd:Q113784867 ;
    kg:be wd:Q29175 ;
    kg:be wd:Q3331189 ;
    kg:beIn wd:Q1860 ;
    kg:beOf wd:Q188 .

wd:Q101352 rdfs:label ""family name""@en .
wd:Q113784867 rdfs:label ""translation into English""@en .
wd:Q145 rdfs:label ""United Kingdom""@en .
wd:Q15767091 rdfs:label ""Names: A Journal of Onomastics""@en .
wd:Q1860 rdfs:label ""English""@en .
wd:Q188 rdfs:label ""German""@en .
wd:Q23622 rdfs:label ""dictionary""@en .
wd:Q27 rdfs:label ""Ireland""@en .
wd:Q29175 rdfs:label ""derivative""@en .
wd:Q3331189 rdfs:label ""version, edition or translation""@en .
wd:Q34433 rdfs:label ""University of Oxford""@en .
wd:Q35409 rdfs:label ""family""@en .
","[[""Crane"", ""accordIn"", ""Ireland""], [""Crane"", ""accordIn"", ""United Kingdom""], [""Crane"", ""accordOf"", ""family""], [""Crane"", ""accordOf"", ""Names: A Journal of Onomastics""], [""Crane"", ""accordTo"", ""dictionary""], [""Crane"", ""accordTo"", ""University of Oxford""], [""Crane"", ""be"", ""derivative""], [""Crane"", ""be"", ""family name""], [""Crane"", ""be"", ""translation into English""], [""Crane"", ""be"", ""version, edition or translation""], [""Crane"", ""beIn"", ""English""], [""Crane"", ""beOf"", ""German""]]"
Crane_02,"A crane is a machine used to move materials both vertically and horizontally, utilizing a system of a boom, hoist, wire ropes or chains, and sheaves for lifting and relocating heavy objects within the swing of its boom. The device uses one or more simple machines, such as the lever and pulley, to create mechanical advantage to do its work.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q178692 rdfs:label ""crane""@en ;
    kg:be wd:Q1760034 ;
    kg:create wd:Q24050179 ;
    kg:create wd:Q813243 ;
    kg:move wd:Q1223895 ;
    kg:move wd:Q4113827 ;
    kg:move wd:Q6786584 ;
    kg:relocate wd:Q36327105 ;
    kg:relocate wd:Q38848 ;
    kg:relocate wd:Q488383 ;
    kg:relocateWithin wd:Q859221 ;
    kg:rope wd:Q37530215 ;
    kg:rope wd:Q60411604 ;
    kg:use wd:Q11660 ;
    kg:use wd:Q16872087 ;
    kg:use wd:Q200183 ;
    kg:use wd:Q48378 ;
    kg:use wd:Q7520704 ;
    kg:utilize wd:Q1411613 ;
    kg:utilize wd:Q26934461 ;
    kg:utilizeOf wd:Q723972 .

wd:Q11660 rdfs:label ""artificial intelligence""@en .
wd:Q1223895 rdfs:label ""side-scrolling video game""@en .
wd:Q1411613 rdfs:label ""hoist""@en .
wd:Q16872087 rdfs:label ""Lever""@en .
wd:Q1760034 rdfs:label ""Machine""@en .
wd:Q200183 rdfs:label ""Simple English Wikipedia""@en .
wd:Q24050179 rdfs:label ""advantage""@en .
wd:Q26934461 rdfs:label ""Wire""@en .
wd:Q36327105 rdfs:label ""Heavy objects and small children: Developmental data extend the passive frame theory""@en .
wd:Q37530215 rdfs:label ""Sheaves""@en .
wd:Q38848 rdfs:label ""heavy metal music""@en .
wd:Q4113827 rdfs:label ""vertically transmitted infection""@en .
wd:Q48378 rdfs:label ""pulley""@en .
wd:Q488383 rdfs:label ""object""@en .
wd:Q60411604 rdfs:label ""Chains""@en .
wd:Q6786584 rdfs:label ""Materials""@en .
wd:Q723972 rdfs:label ""Boom""@en .
wd:Q7520704 rdfs:label ""Simple Machines""@en .
wd:Q813243 rdfs:label ""ventilator""@en .
wd:Q859221 rdfs:label ""Swing""@en .
","[[""crane"", ""be"", ""Machine""], [""crane"", ""create"", ""advantage""], [""crane"", ""create"", ""ventilator""], [""crane"", ""move"", ""Materials""], [""crane"", ""move"", ""side-scrolling video game""], [""crane"", ""move"", ""vertically transmitted infection""], [""crane"", ""relocate"", ""heavy metal music""], [""crane"", ""relocate"", ""Heavy objects and small children: Developmental data extend the passive frame theory""], [""crane"", ""relocate"", ""object""], [""crane"", ""relocateWithin"", ""Swing""], [""crane"", ""rope"", ""Chains""], [""crane"", ""rope"", ""Sheaves""], [""crane"", ""use"", ""artificial intelligence""], [""crane"", ""use"", ""Lever""], [""crane"", ""use"", ""pulley""], [""crane"", ""use"", ""Simple English Wikipedia""], [""crane"", ""use"", ""Simple Machines""], [""crane"", ""utilize"", ""hoist""], [""crane"", ""utilize"", ""Wire""], [""crane"", ""utilizeOf"", ""Boom""]]"
Bank_01,A bank is a financial institution that accepts deposits from the public and creates a demand deposit while making loans. Lending activities can be directly performed by the bank or indirectly through capital markets.,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q22687 rdfs:label ""bank""@en ;
    kg:accept wd:Q18554103 ;
    kg:acceptFrom wd:Q180686 ;
    kg:be wd:Q43229 ;
    kg:create wd:Q37500962 ;
    kg:create wd:Q5260774 ;
    kg:make wd:Q6663494 ;
    kg:performBy wd:Q115455199 ;
    kg:performThrough wd:Q125689837 ;
    kg:performThrough wd:Q43388878 ;
    kg:performThrough wd:Q5119 .

wd:Q115455199 rdfs:label ""indirect""@en .
wd:Q125689837 rdfs:label ""CAPITAL MARKETS""@en .
wd:Q18554103 rdfs:label ""corneal deposit""@en .
wd:Q37500962 rdfs:label ""Demand""@en .
wd:Q43229 rdfs:label ""organization""@en .
wd:Q43388878 rdfs:label ""Markétská""@en .
wd:Q5119 rdfs:label ""capital city""@en .
wd:Q5260774 rdfs:label ""deposit""@en .
wd:Q6663494 rdfs:label ""Loans""@en .
","[[""bank"", ""accept"", ""corneal deposit""], [""bank"", ""acceptFrom"", ""Q180686""], [""bank"", ""be"", ""organization""], [""bank"", ""create"", ""Demand""], [""bank"", ""create"", ""deposit""], [""bank"", ""make"", ""Loans""], [""bank"", ""performBy"", ""indirect""], [""bank"", ""performThrough"", ""capital city""], [""bank"", ""performThrough"", ""CAPITAL MARKETS""], [""bank"", ""performThrough"", ""Markétská""]]"
Bank_02,"Bank is a surname. Notable people with the surname include: Floyd Bank, American former basketball coach Frank Bank, American actor István Bank, Hungarian footballer Jan Bank, Dutch historian Jesper Bank, Danish sailor Joshua Bank, Russian writer and rabbi Lawrence C.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q16479798 rdfs:label ""Bank""@en ;
    kg:be wd:Q101352 ;
    kg:include wd:Q1158511 ;
    kg:include wd:Q12173670 ;
    kg:include wd:Q133485 ;
    kg:include wd:Q15635788 ;
    kg:include wd:Q15728196 ;
    kg:include wd:Q16275854 ;
    kg:include wd:Q201788 ;
    kg:include wd:Q220546 ;
    kg:include wd:Q28229089 ;
    kg:include wd:Q3284319 ;
    kg:include wd:Q33999 ;
    kg:include wd:Q36180 ;
    kg:include wd:Q39990 ;
    kg:include wd:Q45199 ;
    kg:include wd:Q4960 ;
    kg:include wd:Q5372 ;
    kg:include wd:Q628099 ;
    kg:include wd:Q7411 ;
    kg:include wd:Q7737 ;
    kg:include wd:Q7976 ;
    kg:include wd:Q9035 ;
    kg:include wd:Q9067 ;
    kg:include wd:Q937857 .

wd:Q101352 rdfs:label ""family name""@en .
wd:Q1158511 rdfs:label ""Jesper""@en .
wd:Q12173670 rdfs:label ""Jan""@en .
wd:Q133485 rdfs:label ""rabbi""@en .
wd:Q15635788 rdfs:label ""Lawrence""@en .
wd:Q15728196 rdfs:label ""István""@en .
wd:Q16275854 rdfs:label ""Floyd""@en .
wd:Q201788 rdfs:label ""historian""@en .
wd:Q220546 rdfs:label ""Frank""@en .
wd:Q3284319 rdfs:label ""Joshua""@en .
wd:Q33999 rdfs:label ""actor""@en .
wd:Q36180 rdfs:label ""writer""@en .
wd:Q39990 rdfs:label ""Michael McMillian""@en .
wd:Q45199 rdfs:label ""sailor""@en .
wd:Q4960 rdfs:label ""Jason Lee""@en .
wd:Q5372 rdfs:label ""basketball""@en .
wd:Q628099 rdfs:label ""association football coach""@en .
wd:Q7411 rdfs:label ""Dutch""@en .
wd:Q7737 rdfs:label ""Russian""@en .
wd:Q7976 rdfs:label ""American English""@en .
wd:Q9035 rdfs:label ""Danish""@en .
wd:Q9067 rdfs:label ""Hungarian""@en .
wd:Q937857 rdfs:label ""association football player""@en .
","[[""Bank"", ""be"", ""family name""], [""Bank"", ""include"", ""actor""], [""Bank"", ""include"", ""American English""], [""Bank"", ""include"", ""association football coach""], [""Bank"", ""include"", ""association football player""], [""Bank"", ""include"", ""basketball""], [""Bank"", ""include"", ""Danish""], [""Bank"", ""include"", ""Dutch""], [""Bank"", ""include"", ""Floyd""], [""Bank"", ""include"", ""Frank""], [""Bank"", ""include"", ""historian""], [""Bank"", ""include"", ""Hungarian""], [""Bank"", ""include"", ""István""], [""Bank"", ""include"", ""Jan""], [""Bank"", ""include"", ""Jason Lee""], [""Bank"", ""include"", ""Jesper""], [""Bank"", ""include"", ""Joshua""], [""Bank"", ""include"", ""Lawrence""], [""Bank"", ""include"", ""Michael McMillian""], [""Bank"", ""include"", ""Q28229089""], [""Bank"", ""include"", ""rabbi""], [""Bank"", ""include"", ""Russian""], [""Bank"", ""include"", ""sailor""], [""Bank"", ""include"", ""writer""]]"
Bat_01,"Bath is a city in Somerset, England, known for and named after its Roman-built baths. At the 2021 census, the population was 94,080.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q22889 rdfs:label ""Bath""@en ;
    kg:be wd:Q21 ;
    kg:be wd:Q3596655 ;
    kg:be wd:Q515 ;
    kg:be wd:Q683782 ;
    kg:beIn wd:Q67461071 ;
    kg:nameAfter wd:Q327651 .

wd:Q21 rdfs:label ""England""@en .
wd:Q327651 rdfs:label ""bathing""@en .
wd:Q515 rdfs:label ""city""@en .
wd:Q67461071 rdfs:label ""Somerset""@en .
wd:Q683782 rdfs:label ""94""@en .
","[[""Bath"", ""be"", ""94""], [""Bath"", ""be"", ""city""], [""Bath"", ""be"", ""England""], [""Bath"", ""be"", ""Q3596655""], [""Bath"", ""beIn"", ""Somerset""], [""Bath"", ""nameAfter"", ""bathing""]]"
Bat_02,Baton Rouge (lit. Red Baton) is the capital city of the U.S.,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q28218 rdfs:label ""Baton Rouge""@en ;
    kg:be wd:Q515 .

wd:Q515 rdfs:label ""city""@en .
","[[""Baton Rouge"", ""be"", ""city""]]"
Date_01,"A calendar date is a reference to a particular day, represented within a calendar system, enabling a specific day to be unambiguously identified. Simple math can be performed between dates; commonly, the number of days between two dates may be calculated, e.g., is ten days after.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q205892 rdfs:label ""calendar date""@en ;
    kg:be wd:Q121769 ;
    kg:be wd:Q51968852 ;
    kg:beTo wd:Q5242796 ;
    kg:enable wd:Q71536040 ;
    kg:perform wd:Q28962312 ;
    kg:perform wd:Q573 ;
    kg:performBetween wd:Q13427026 .

wd:Q121769 rdfs:label ""reference""@en .
wd:Q13427026 rdfs:label ""Dates""@en .
wd:Q28962312 rdfs:label ""often""@en .
wd:Q51968852 rdfs:label ""Unambiguously distinguishing Si[3Si,1Al] and Si[3Si,1OH] stuctural units in zeolite by 1H/29Si/27Al triple resonance solid state NMR spectroscopy""@en .
wd:Q5242796 rdfs:label ""Day""@en .
wd:Q573 rdfs:label ""day""@en .
wd:Q71536040 rdfs:label ""most precise value""@en .
","[[""calendar date"", ""be"", ""reference""], [""calendar date"", ""be"", ""Unambiguously distinguishing Si[3Si,1Al] and Si[3Si,1OH] stuctural units in zeolite by 1H/29Si/27Al triple resonance solid state NMR spectroscopy""], [""calendar date"", ""beTo"", ""Day""], [""calendar date"", ""enable"", ""most precise value""], [""calendar date"", ""perform"", ""day""], [""calendar date"", ""perform"", ""often""], [""calendar date"", ""performBetween"", ""Dates""]]"
Date_02,"An anniversary is the date on which an event took place or an institution was founded. Most countries celebrate national anniversaries, typically called national days.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q3406134 rdfs:label ""date of establishment""@en ;
    kg:beOn wd:Q1190554 ;
    kg:call wd:Q139724261 ;
    kg:call wd:Q573 ;
    kg:celebrate wd:Q19057770 ;
    kg:celebrate wd:Q28962312 ;
    kg:celebrate wd:Q518155 ;
    kg:take wd:Q43229 .

wd:Q1190554 rdfs:label ""occurrence""@en .
wd:Q139724261 rdfs:label ""National Days""@en .
wd:Q19057770 rdfs:label ""Anniversaries""@en .
wd:Q28962312 rdfs:label ""often""@en .
wd:Q43229 rdfs:label ""organization""@en .
wd:Q518155 rdfs:label ""National Archives and Records Administration""@en .
wd:Q573 rdfs:label ""day""@en .
","[[""date of establishment"", ""beOn"", ""occurrence""], [""date of establishment"", ""call"", ""day""], [""date of establishment"", ""call"", ""National Days""], [""date of establishment"", ""celebrate"", ""Anniversaries""], [""date of establishment"", ""celebrate"", ""National Archives and Records Administration""], [""date of establishment"", ""celebrate"", ""often""], [""date of establishment"", ""take"", ""organization""]]"
Spring_01,"A spring is a natural exit point at which groundwater emerges from an aquifer and flows across the ground surface as surface water. It is a component of the hydrosphere, as well as a part of the water cycle.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q124714 rdfs:label ""spring""@en ;
    kg:be wd:Q11442 ;
    kg:be wd:Q11653 ;
    kg:be wd:Q21199 ;
    kg:be wd:Q4 ;
    kg:be wd:Q81041 ;
    kg:beAt wd:Q161598 ;
    kg:beOf wd:Q83169 ;
    kg:emergeFrom wd:Q208791 ;
    kg:flowAcross wd:Q36133 ;
    kg:flowAcross wd:Q37497814 ;
    kg:flowAs wd:Q283 .

wd:Q11442 rdfs:label ""bicycle""@en .
wd:Q11653 rdfs:label ""electronic component""@en .
wd:Q161598 rdfs:label ""groundwater""@en .
wd:Q208791 rdfs:label ""aquifer""@en .
wd:Q21199 rdfs:label ""natural number""@en .
wd:Q283 rdfs:label ""water""@en .
wd:Q36133 rdfs:label ""soil""@en .
wd:Q37497814 rdfs:label ""Surface""@en .
wd:Q4 rdfs:label ""death""@en .
wd:Q81041 rdfs:label ""water cycle""@en .
wd:Q83169 rdfs:label ""hydrosphere""@en .
","[[""spring"", ""be"", ""bicycle""], [""spring"", ""be"", ""death""], [""spring"", ""be"", ""electronic component""], [""spring"", ""be"", ""natural number""], [""spring"", ""be"", ""water cycle""], [""spring"", ""beAt"", ""groundwater""], [""spring"", ""beOf"", ""hydrosphere""], [""spring"", ""emergeFrom"", ""aquifer""], [""spring"", ""flowAcross"", ""soil""], [""spring"", ""flowAcross"", ""Surface""], [""spring"", ""flowAs"", ""water""]]"
